"Date","hour","temperature","kWh"
20160620,3,61,91.5908151001882
20160620,4,61,90.9042696672758
20160620,5,61,90.2228704341317
20160620,6,61,89.5465788259279
20160620,7,63,156.90227483821
20160620,8,67,160.342852683802
20160620,9,70,162.483903263925
20160620,10,73,164.50994380581
20160620,11,74,164.334535495777
20160620,12,76,165.18017673872
20160620,13,76,163.942020971424
20160620,14,77,163.725752492441
20160620,15,77,162.498498782548
20160620,16,76,160.282961645675
20160620,17,75,158.084640564963
20160620,18,75,156.899671440332
20160620,19,74,154.734695911978
20160620,20,73,87.7641799173819
20160620,21,71,85.9654361786751
20160620,22,71,85.3210573997305
20160620,23,70,84.1133481479883
20160621,0,69,61.7615618394048
20160621,1,68,60.8753674771147
20160621,2,68,60.4190585615038
20160621,3,66,59.1225513528365
20160621,4,66,58.6793811772133
20160621,5,66,58.2395329117593
20160621,6,67,58.2169935742023
20160621,7,69,101.869274071695
20160621,8,72,103.168649620215
20160621,9,74,103.735509612164
20160621,10,77,104.918212367935
20160621,11,80,106.037921717413
20160621,12,82,106.483687964756
20160621,13,83,106.29524490144
20160621,14,83,105.498478163994
20160621,15,83,104.707683821968
20160621,16,81,102.726730403917
20160621,17,80,101.357375210754
20160621,18,79,99.9988572729336
20160621,19,78,98.6510450723948
20160621,20,76,55.6264922633793
20160621,21,75,54.8635609490767
20160621,22,73,53.758276212902
20160621,23,71,52.6564900077251
20160622,0,71,55.911729269394
20160622,1,69,54.745179078904
20160622,2,68,53.9596602607685
20160622,3,67,53.1799534220687
20160622,4,67,52.7813277072033
20160622,5,67,52.3856900066238
20160622,6,67,51.9930179228055
20160622,7,69,90.9784354604638
20160622,8,72,92.1388948389876
20160622,9,74,92.6451518596902
20160622,10,76,93.1218901249305
20160622,11,78,93.570312282043
20160622,12,79,93.4321067756801
20160622,13,80,93.2870105445031
20160622,14,81,93.1352323240092
20160622,15,80,91.893732535708
20160622,16,79,90.6620581384235
20160622,17,78,89.4400898938122
20160622,18,76,87.6820402221546
20160622,19,75,86.4794590155113
20160622,20,74,49.0546521677573
20160622,21,72,48.0579474202643
20160622,22,70,47.0642491502064
20160622,23,69,46.3935661936794
