"Date","hour","temperature","kWh"
"12/9/2014",1,32.66,78.7930190119074
"12/9/2014",2,39.2,85.2788593870277
"12/9/2014",3,42.08,87.5359473548114
"12/9/2014",4,37.04,81.775619196777
"12/9/2014",5,37.4,81.5360756039229
"12/9/2014",6,42.89,86.3601377747838
"12/9/2014",7,42.98,149.168175065425
"12/9/2014",8,44.06,149.8041291823
"12/9/2014",9,44.96,150.114957163651
"12/9/2014",10,44.78,148.706336558633
"12/9/2014",11,44.96,147.872931533431
"12/9/2014",12,46.28,148.793969234859
"12/9/2014",13,46.94,148.674448294412
"12/9/2014",14,46.94,147.560015986373
"12/9/2014",15,46.58,145.919787047267
"12/9/2014",16,48.02,146.933894923982
"12/9/2014",17,48.14,146.00535330518
"12/9/2014",18,48.44,145.338818189596
"12/9/2014",19,48.92,144.926017314281
"12/9/2014",20,48.56,82.4437771918042
"12/9/2014",21,48.92,82.1131359591317
"12/9/2014",22,48.92,81.4976332101585
"12/9/2014",23,48.92,80.8867441399783
"12/10/2014",0,46.04,95.064078729012
"12/10/2014",1,44.96,93.2945278412007
"12/10/2014",2,42.98,90.6369859604427
"12/10/2014",3,42.08,89.0586156498394
"12/10/2014",4,42.08,88.3910510499501
"12/10/2014",5,42.2,87.8471345823214
"12/10/2014",6,41,86.0030631418853
"12/10/2014",7,41.9,149.940945618502
"12/10/2014",8,41,147.291291719069
"12/10/2014",9,41,146.187227261002
"12/10/2014",10,41.36,145.694674765227
"12/10/2014",11,42.56,146.57876332407
"12/10/2014",12,42.44,145.285221219968
"12/10/2014",13,42.56,144.389552132675
"12/10/2014",14,41,140.789808761357
"12/10/2014",15,39.92,137.975321692684
"12/10/2014",16,39.92,136.941087781139
"12/10/2014",17,39.11,134.598718480711
"12/10/2014",18,39.11,133.589794874695
"12/10/2014",19,39.02,132.443540588031
"12/10/2014",20,39.14,75.7177338198322
"12/10/2014",21,37.94,74.0477300412465
"12/10/2014",22,39.02,74.4782427056627
"12/10/2014",23,39.02,73.9199695062706
"12/11/2014",0,39.14,89.5447133811702
"12/11/2014",1,39.155,88.8896681856912
"12/11/2014",2,37.94,86.9133422398546
"12/11/2014",3,37.94,86.2618581569949
"12/11/2014",4,37.04,84.6453000633303
"12/11/2014",5,35.96,82.8392227563391
"12/11/2014",6,35.06,81.2351737288869
"12/11/2014",7,35.33,140.687701776253
"12/11/2014",8,35.33,139.633136435658
"12/11/2014",9,34.43,136.899613115596
"12/11/2014",10,33.98,135.027708078118
"12/11/2014",11,33.89,133.846990332793
"12/11/2014",12,33.656,132.407587103816
"12/11/2014",13,33.86,131.792528095233
"12/11/2014",14,33.86,130.804639100504
"12/11/2014",15,33.98,130.042313230699
"12/11/2014",16,33.89,128.905189087365
"12/11/2014",17,33.98,128.100080392712
"12/11/2014",18,33.08,125.530414694844
"12/11/2014",19,33.08,124.589465181445
"12/11/2014",20,32,70.0121919080751
"12/11/2014",21,32,69.4873952835435
"12/11/2014",22,32,68.9665324238264
"12/11/2014",23,32,68.4495738422526
"12/12/2014",0,32,82.7972700888469
"12/12/2014",1,30.92,80.848486517228
"12/12/2014",2,30.92,80.2424633137488
"12/12/2014",3,30.92,79.6409827323888
"12/12/2014",4,30.92,79.0440107226106
"12/12/2014",5,32,79.7402894916311
"12/12/2014",6,32,79.14257309933
"12/12/2014",7,32,136.565487462908
"12/12/2014",8,33.98,139.45936516016
"12/12/2014",9,35.06,140.484731790347
"12/12/2014",10,36.32,141.787820714109
"12/12/2014",11,35.96,140.061283745443
"12/12/2014",12,37.04,140.977450420287
"12/12/2014",13,37.67,141.045185521897
"12/12/2014",14,37.94,140.463241425165
"12/12/2014",15,37.94,139.410358592023
"12/12/2014",16,37.04,136.797790901764
"12/12/2014",17,35.96,133.878935565327
"12/12/2014",18,36.68,134.13148215867
"12/12/2014",19,35.33,130.777772333153
"12/12/2014",20,33.98,73.2887888968012
"12/12/2014",21,33.98,72.739431592297
"12/12/2014",22,33.98,72.1941921542844
"12/12/2014",23,33.08,70.745989010341
"12/13/2014",0,33.08,52.3023143997438
"12/13/2014",1,33.08,51.9102672818902
"12/13/2014",2,33.08,51.5211588665468
"12/13/2014",3,32,50.3357346164671
"12/13/2014",4,32,49.9584285659049
"12/13/2014",5,32,49.5839507219214
"12/13/2014",6,32,49.2122798848767
"12/13/2014",7,33.08,86.2672290254828
"12/13/2014",8,33.8,86.5000306835093
"12/13/2014",9,35.06,87.3559409262743
"12/13/2014",10,35.96,87.7503917211136
"12/13/2014",11,37.94,89.3364995205812
"12/13/2014",12,39.92,90.8336295451141
"12/13/2014",13,41,91.3021885572005
"12/13/2014",14,41,90.6178066079812
"12/13/2014",15,39.92,88.8062930678077
"12/13/2014",16,39.02,87.1918786187861
"12/13/2014",17,39.02,86.5383066859749
"12/13/2014",18,37.94,84.7530698215594
"12/13/2014",19,37.04,83.1647866114574
"12/13/2014",20,35.96,46.8138337942861
"12/13/2014",21,33.98,45.2306909669742
